set,row,w1,w2,w3,w4
4,84,0.248334,0.197122,0.278969,0.275575,
4,85,0.190345,0.257118,0.298614,0.253923,
4,86,0.214907,0.206734,0.293395,0.284964,
4,87,0.219182,0.219167,0.306389,0.255262,
4,88,0.193990,0.171383,0.276556,0.358071,
4,89,0.243954,0.201117,0.248297,0.306632,
4,90,0.188667,0.173848,0.338621,0.298864,
4,91,0.169084,0.263013,0.357620,0.210283,
4,92,0.176897,0.250504,0.274840,0.297759,
4,93,0.206636,0.186940,0.247879,0.358545,
4,94,0.231455,0.164580,0.289620,0.314344,
4,95,0.146801,0.274952,0.288145,0.290103,
4,96,0.174366,0.319426,0.271655,0.234553,
4,97,0.223479,0.212359,0.296284,0.267878,
4,98,0.248539,0.160956,0.255196,0.335308,
4,99,0.267328,0.162693,0.296071,0.273908,
4,100,0.195434,0.237760,0.267627,0.299180,
4,101,0.188672,0.269967,0.327086,0.214274,
4,102,0.173212,0.113579,0.238954,0.474255,
4,103,0.212611,0.196604,0.244971,0.345813,
4,104,0.177424,0.208075,0.333951,0.280550,
4,105,0.191764,0.172632,0.292399,0.343205,
4,106,0.177824,0.162560,0.289467,0.370149,
4,107,0.186325,0.218601,0.309050,0.286024,
4,108,0.189164,0.160643,0.301161,0.349032,
4,109,0.229390,0.162784,0.347122,0.260704,
4,110,0.207363,0.236290,0.283440,0.272907,
4,111,0.251571,0.200705,0.279822,0.267902,
4,112,0.261589,0.203589,0.250875,0.283947,
4,113,0.245980,0.176126,0.303932,0.273962,
4,114,0.249056,0.214915,0.257238,0.278791,
4,115,0.199750,0.236385,0.294919,0.268946,
4,116,0.170027,0.173494,0.330277,0.326203,
4,117,0.190444,0.180582,0.308223,0.320751,
4,118,0.217792,0.191877,0.282003,0.308328,
4,119,0.309159,0.132423,0.234582,0.323836,
4,120,0.201844,0.195108,0.304615,0.298433,
4,121,0.331620,0.106758,0.287781,0.273841,
4,122,0.190305,0.170137,0.262315,0.377242,
4,123,0.197851,0.242210,0.318619,0.241320,
4,124,0.232495,0.202868,0.265839,0.298798,
4,125,0.208020,0.226053,0.323257,0.242671,
4,126,0.209722,0.142733,0.294386,0.353159,
4,127,0.236329,0.176558,0.255794,0.331319,
4,128,0.210673,0.229622,0.294428,0.265277,
4,129,0.209584,0.234434,0.293960,0.262022,
4,130,0.230407,0.260925,0.246712,0.261956,
4,131,0.285180,0.170679,0.245325,0.298816,
4,132,0.185010,0.118777,0.401169,0.295044,
4,133,0.156842,0.207505,0.382788,0.252865,
4,134,0.208294,0.170028,0.315409,0.306269,
4,135,0.181680,0.227374,0.311978,0.278968,
4,136,0.223649,0.147861,0.275491,0.352998,
4,137,0.210144,0.193027,0.357229,0.239599,
4,138,0.281410,0.194129,0.258818,0.265642,
4,139,0.236627,0.198421,0.248207,0.316745,
4,140,0.163754,0.238987,0.320851,0.276407,
4,141,0.255765,0.113967,0.315852,0.314415,
4,142,0.230167,0.194872,0.255979,0.318982,
4,143,0.253308,0.182819,0.252590,0.311284,
4,144,0.205072,0.157398,0.301705,0.335826,
4,145,0.212818,0.173339,0.251668,0.362174,
4,146,0.218659,0.109288,0.366995,0.305058,
4,147,0.199742,0.215887,0.302028,0.282343,
4,148,0.175045,0.256317,0.326933,0.241704,
4,149,0.226423,0.191280,0.257248,0.325049,
4,150,0.209687,0.198248,0.316278,0.275787,
4,151,0.235892,0.193170,0.328003,0.242936,
4,152,0.155037,0.231983,0.323671,0.289309,
4,153,0.223273,0.204745,0.293426,0.278557,
4,154,0.203941,0.218953,0.294272,0.282834,
4,155,0.169800,0.148739,0.277850,0.403612,
4,156,0.190398,0.231315,0.291768,0.286519,
4,157,0.242830,0.149108,0.280043,0.328019,
4,158,0.212197,0.158326,0.357954,0.271523,
4,159,0.176821,0.201437,0.296808,0.324934,
4,160,0.166315,0.188395,0.329262,0.316028,
4,161,0.171504,0.228795,0.332933,0.266768,
4,162,0.164059,0.250086,0.307388,0.278467,
4,163,0.217726,0.199857,0.293361,0.289056,
4,164,0.221827,0.171968,0.259231,0.346975,
4,165,0.226782,0.198723,0.306375,0.268121,
4,166,0.254779,0.138835,0.256842,0.349544,
4,167,0.238820,0.163602,0.294874,0.302705,
4,168,0.237576,0.237890,0.248778,0.275756,
4,169,0.233599,0.134719,0.299313,0.332369,
4,170,0.212525,0.138743,0.280934,0.367797,
4,171,0.237104,0.145069,0.303912,0.313915,
4,172,0.289148,0.135920,0.296963,0.277969,
4,173,0.197976,0.197199,0.345991,0.258834,
4,174,0.168519,0.277204,0.313576,0.240701,
4,175,0.177972,0.210475,0.277939,0.333615,
4,176,0.186463,0.204954,0.335083,0.273500,
4,177,0.270497,0.216754,0.228134,0.284615,
4,178,0.199391,0.229982,0.335873,0.234754,
4,179,0.250864,0.198324,0.243804,0.307009,
4,180,0.195137,0.179950,0.298205,0.326709,
4,181,0.250059,0.148348,0.253620,0.347973,
4,182,0.294127,0.126289,0.272359,0.307224,
4,183,0.179191,0.245376,0.323166,0.252267,
4,184,0.143284,0.266768,0.322790,0.267158,
4,185,0.221939,0.235274,0.297387,0.245400,
4,186,0.215023,0.200570,0.294841,0.289566,
4,187,0.239944,0.197261,0.263927,0.298867,
4,188,0.156324,0.277314,0.324728,0.241634,
4,189,0.165549,0.158794,0.290330,0.385328,
4,190,0.227534,0.190844,0.308746,0.272876,
4,191,0.195416,0.255216,0.278526,0.270843,
4,192,0.223423,0.184261,0.262228,0.330088,
4,193,0.216602,0.242469,0.322017,0.218912,
4,194,0.251468,0.212508,0.233591,0.302432,
4,195,0.212497,0.129832,0.341055,0.316616,
4,196,0.230972,0.191370,0.273226,0.304432,
4,197,0.276229,0.095452,0.264888,0.363432,
4,198,0.180565,0.218926,0.355431,0.245078,
4,199,0.188450,0.196301,0.321930,0.293319,
4,200,0.272304,0.186179,0.258274,0.283243,
4,201,0.187331,0.215962,0.288608,0.308099,
4,202,0.252774,0.200200,0.289106,0.257920,
4,203,0.217520,0.204611,0.334953,0.242916,
4,204,0.268162,0.153407,0.232432,0.345998,
4,205,0.154913,0.231766,0.325693,0.287628,
4,206,0.197572,0.206866,0.356915,0.238647,
4,207,0.189690,0.281865,0.302927,0.225518,
4,208,0.134942,0.242919,0.333194,0.288945,
4,209,0.263834,0.116882,0.308643,0.310641,
4,210,0.251970,0.145002,0.266057,0.336971,
4,211,0.149281,0.226242,0.278559,0.345918,
4,212,0.251866,0.149472,0.320167,0.278494,
4,213,0.261729,0.147343,0.252772,0.338155,
4,214,0.206436,0.241905,0.261076,0.290583,
4,215,0.182887,0.221271,0.295865,0.299977,
4,216,0.203077,0.225198,0.285595,0.286130,
4,217,0.242361,0.202075,0.296845,0.258719,
4,218,0.247163,0.132086,0.323553,0.297199,
4,219,0.227952,0.189512,0.269173,0.313362,
4,220,0.206764,0.182206,0.299691,0.311339,
4,221,0.218679,0.140147,0.289720,0.351454,
4,222,0.251493,0.202111,0.314415,0.231981,
4,223,0.174926,0.280364,0.291809,0.252901,
4,224,0.214817,0.171414,0.255537,0.358232,
4,225,0.207275,0.163052,0.283755,0.345918,
4,226,0.273044,0.114568,0.255243,0.357145,
4,227,0.187842,0.142607,0.266946,0.402605,
4,228,0.275759,0.159610,0.277798,0.286833,
4,229,0.192140,0.220210,0.290882,0.296768,
4,230,0.215479,0.224344,0.285144,0.275033,
4,231,0.232552,0.178354,0.242065,0.347028,
4,232,0.225500,0.181547,0.274707,0.318246,
4,233,0.219055,0.215696,0.313384,0.251864,
4,234,0.183552,0.175946,0.304942,0.335560,
4,235,0.174007,0.172257,0.271123,0.382613,
4,236,0.193329,0.177607,0.255957,0.373107,
4,237,0.228078,0.181243,0.308036,0.282643,
4,238,0.197118,0.261114,0.318626,0.223141,
4,239,0.169524,0.240082,0.329817,0.260577,
4,240,0.159381,0.221224,0.313457,0.305938,
4,241,0.190036,0.193642,0.332813,0.283509,
4,242,0.232731,0.124939,0.285430,0.356900,
4,243,0.168251,0.172296,0.305288,0.354165,
4,244,0.290146,0.132269,0.315627,0.261958,
4,245,0.209737,0.202350,0.322540,0.265373,
4,246,0.203721,0.218180,0.312236,0.265864,
4,247,0.244351,0.213163,0.246636,0.295850,
4,248,0.231060,0.257576,0.278345,0.233019,
4,249,0.206863,0.175211,0.274471,0.343455,
4,250,0.288989,0.120294,0.318632,0.272085,
4,251,0.268684,0.094779,0.384953,0.251585,
4,252,0.192120,0.141038,0.293747,0.373095,
4,253,0.209901,0.189414,0.307171,0.293514,
4,254,0.180208,0.228283,0.288583,0.302926,
4,255,0.165425,0.278458,0.325288,0.230829,
4,256,0.152892,0.280051,0.318687,0.248371,
4,257,0.155577,0.259708,0.324791,0.259924,
4,258,0.292058,0.222100,0.302551,0.183291,
4,259,0.189078,0.190356,0.263590,0.356976,
4,260,0.223344,0.178096,0.261165,0.337395,
4,261,0.259609,0.129195,0.277178,0.334018,
4,262,0.179281,0.256254,0.350244,0.214221,
4,263,0.197858,0.216784,0.310973,0.274385,
4,264,0.173124,0.234510,0.282471,0.309895,
4,265,0.185770,0.164831,0.308107,0.341292,
4,266,0.249419,0.135898,0.312920,0.301763,
4,267,0.204862,0.248563,0.274097,0.272478,
4,268,0.214428,0.223357,0.305064,0.257150,
4,269,0.157895,0.252803,0.291560,0.297743,
4,270,0.186595,0.261004,0.322355,0.230046,
4,271,0.168091,0.237372,0.311169,0.283367,
4,272,0.215837,0.240096,0.258693,0.285373,
4,273,0.200930,0.210647,0.343880,0.244542,
4,274,0.289486,0.146359,0.282529,0.281626,
4,275,0.291481,0.156497,0.283780,0.268242,
4,276,0.263333,0.183763,0.288274,0.264630,
4,277,0.237696,0.206223,0.293331,0.262751,
4,278,0.279495,0.131892,0.251280,0.337333,
4,279,0.194648,0.224194,0.283829,0.297329,
4,280,0.153466,0.262262,0.312261,0.272010,
4,281,0.327711,0.126704,0.267738,0.277847,
4,282,0.235903,0.137009,0.245703,0.381385,
4,283,0.201842,0.196609,0.287424,0.314126,
4,284,0.177071,0.262013,0.321734,0.239182,
4,285,0.182284,0.106865,0.415164,0.295687,
4,286,0.200935,0.157868,0.291415,0.349782,
4,287,0.150924,0.278308,0.311398,0.259371,
4,288,0.196307,0.157910,0.273777,0.372006,
4,289,0.230337,0.185268,0.301855,0.282540,
4,290,0.260970,0.183502,0.236319,0.319209,
4,291,0.216627,0.121160,0.291889,0.370324,
4,292,0.207308,0.272655,0.243582,0.276455,
4,293,0.211927,0.292792,0.279806,0.215475,
4,294,0.195232,0.198155,0.308639,0.297973,
4,295,0.169849,0.198151,0.341458,0.290542,
4,296,0.226112,0.170083,0.309942,0.293863,
4,297,0.212346,0.099171,0.332827,0.355655,
4,298,0.232745,0.157234,0.303289,0.306732,
4,299,0.244302,0.167138,0.286773,0.301786,
4,300,0.200467,0.264818,0.282954,0.251761,
4,301,0.142949,0.281179,0.318100,0.257772,
4,302,0.181277,0.204320,0.308246,0.306157,
4,303,0.291704,0.141176,0.251815,0.315305,
4,304,0.205461,0.199415,0.300365,0.294759,
4,305,0.166009,0.192358,0.314152,0.327481,
4,306,0.203480,0.201060,0.308631,0.286829,
4,307,0.306167,0.096494,0.287720,0.309619,
4,308,0.283869,0.186675,0.208327,0.321129,
4,309,0.189966,0.240674,0.299418,0.269942,
4,310,0.164395,0.257861,0.281781,0.295963,
4,311,0.183463,0.139252,0.402710,0.274575,
4,312,0.206534,0.147119,0.259974,0.386373,
4,313,0.319556,0.131949,0.214748,0.333747,
4,314,0.245114,0.117983,0.305293,0.331610,
4,315,0.184428,0.213128,0.303261,0.299182,
4,316,0.211875,0.241763,0.266333,0.280029,
4,317,0.222559,0.217327,0.283204,0.276910,
4,318,0.198569,0.218058,0.341659,0.241714,
4,319,0.240314,0.214500,0.307078,0.238108,
4,320,0.257110,0.177057,0.318756,0.247078,
4,321,0.232769,0.205636,0.229540,0.332055,
4,322,0.273939,0.203692,0.228493,0.293876,
4,323,0.174837,0.228525,0.336442,0.260196,
4,324,0.174465,0.241301,0.334787,0.249448,
4,325,0.182895,0.279196,0.319819,0.218090,
4,326,0.365606,0.115787,0.285139,0.233469,
4,327,0.167161,0.210680,0.326798,0.295361,
4,328,0.197796,0.130067,0.340876,0.331262,
4,329,0.224144,0.217195,0.304417,0.254244,
4,330,0.220701,0.178796,0.254049,0.346454,
4,331,0.232642,0.217598,0.246095,0.303665,
4,332,0.210198,0.137908,0.310104,0.341790,
4,333,0.193363,0.161228,0.285132,0.360276,
4,334,0.274161,0.203142,0.255891,0.266806,
4,335,0.192264,0.216070,0.301808,0.289858,
4,336,0.218303,0.217496,0.277322,0.286880,
4,337,0.243944,0.185769,0.297719,0.272568,
4,338,0.385215,0.134206,0.256018,0.224562,
4,339,0.178286,0.205690,0.246820,0.369204,
4,340,0.213197,0.206575,0.307577,0.272652,
4,341,0.246417,0.196018,0.270162,0.287403,
4,342,0.225386,0.215780,0.315638,0.243196,
4,343,0.189999,0.180467,0.226992,0.402542,
4,344,0.212166,0.185534,0.284722,0.317578,
4,345,0.206294,0.233350,0.298660,0.261696,
4,346,0.252540,0.254868,0.281439,0.211154,
4,347,0.165504,0.222830,0.333764,0.277902,
4,348,0.250039,0.090406,0.389908,0.269647,
4,349,0.282266,0.238907,0.239371,0.239456,
4,350,0.221471,0.240591,0.310122,0.227816,
4,351,0.199697,0.245664,0.269347,0.285291,
4,352,0.177918,0.309948,0.261344,0.250789,
4,353,0.165838,0.254496,0.279505,0.300161,
4,354,0.220738,0.200383,0.305629,0.273250,
4,355,0.212021,0.235825,0.280124,0.272031,
4,356,0.268550,0.183363,0.302156,0.245931,
4,357,0.184699,0.238138,0.271722,0.305441,
4,358,0.246870,0.110590,0.283333,0.359207,
4,359,0.224167,0.232407,0.258243,0.285184,
4,360,0.202688,0.178672,0.312679,0.305961,
4,361,0.238660,0.168527,0.304094,0.288719,
4,362,0.200576,0.162567,0.396464,0.240394,
4,363,0.216010,0.170739,0.292355,0.320896,
4,364,0.219691,0.154208,0.256790,0.369312,
4,365,0.175075,0.201724,0.318849,0.304353,
4,366,0.159547,0.180421,0.279260,0.380772,
4,367,0.344784,0.112103,0.237045,0.306067,
4,368,0.304805,0.128793,0.233482,0.332920,
4,369,0.224488,0.189556,0.272748,0.313208,
4,370,0.289877,0.133144,0.263355,0.313624,
4,371,0.214472,0.195449,0.286516,0.303562,
4,372,0.212428,0.159126,0.307778,0.320668,
4,373,0.232576,0.239142,0.250248,0.278034,
4,374,0.209131,0.205049,0.311054,0.274766,
4,375,0.227893,0.185922,0.314268,0.271917,
4,376,0.234833,0.150249,0.332469,0.282449,
4,377,0.261751,0.208896,0.260610,0.268743,
4,378,0.205013,0.208173,0.273053,0.313760,
4,379,0.281386,0.189868,0.293547,0.235199,
4,380,0.179863,0.230184,0.342601,0.247353,
4,381,0.226610,0.223050,0.282488,0.267852,
4,382,0.252343,0.161736,0.290905,0.295016,
4,383,0.206647,0.152021,0.261418,0.379914,
4,384,0.272761,0.200336,0.261294,0.265609,
4,385,0.159870,0.210861,0.277080,0.352189,
4,386,0.157114,0.296239,0.251471,0.295175,
4,387,0.239056,0.177060,0.279634,0.304250,
4,388,0.189841,0.243987,0.287290,0.278883,
4,389,0.155494,0.236906,0.304116,0.303484,
4,390,0.145519,0.245883,0.358633,0.249965,
4,391,0.165934,0.321210,0.332544,0.180312,
4,392,0.263230,0.136345,0.278086,0.322339,
4,393,0.253963,0.186896,0.246117,0.313024,
4,394,0.238651,0.189249,0.343513,0.228588,
4,395,0.233036,0.189754,0.276733,0.300476,
4,396,0.213973,0.248930,0.251198,0.285899,
4,397,0.216822,0.176150,0.343208,0.263820,
4,398,0.202998,0.205140,0.348983,0.242879,
4,399,0.227537,0.257199,0.273702,0.241562,
4,400,0.193388,0.229322,0.255325,0.321965,
4,401,0.191627,0.279245,0.274642,0.254486,
4,402,0.239707,0.158153,0.260895,0.341245,
4,403,0.308753,0.167132,0.226506,0.297610,
4,404,0.174698,0.183233,0.336219,0.305850,
4,405,0.322056,0.138761,0.266920,0.272263,
4,406,0.175051,0.229607,0.302613,0.292729,
4,407,0.311526,0.128458,0.230651,0.329365,
4,408,0.210348,0.242513,0.287513,0.259626,
4,409,0.201048,0.186471,0.358664,0.253816,
4,410,0.208818,0.210872,0.297994,0.282315,
4,411,0.215850,0.219049,0.292141,0.272960,
4,412,0.221173,0.137457,0.326504,0.314865,
4,413,0.258888,0.163062,0.258420,0.319629,
4,414,0.170052,0.283404,0.291314,0.255229,
4,415,0.210860,0.205482,0.301771,0.281887,
4,416,0.226793,0.178017,0.246450,0.348740,
4,417,0.188078,0.247254,0.276628,0.288041,
4,418,0.273193,0.177929,0.238198,0.310679,
4,419,0.227605,0.205304,0.288354,0.278737,
4,420,0.171782,0.192910,0.316288,0.319020,
4,421,0.213182,0.187199,0.301446,0.298174,
4,422,0.245092,0.192542,0.289438,0.272928,
4,423,0.192730,0.176924,0.305801,0.324545,
4,424,0.301136,0.139386,0.252268,0.307211,
4,425,0.246359,0.141586,0.226369,0.385686,
4,426,0.197422,0.233015,0.319704,0.249858,
4,427,0.194401,0.219098,0.294732,0.291769,
4,428,0.174289,0.318790,0.271894,0.235027,
4,429,0.227655,0.267872,0.240274,0.264198,
4,430,0.180912,0.235722,0.316541,0.266826,
4,431,0.271993,0.108179,0.283190,0.336638,
4,432,0.211594,0.208642,0.239761,0.340003,
4,433,0.196772,0.155389,0.314932,0.332907,
4,434,0.212121,0.161081,0.287881,0.338917,
4,435,0.158054,0.244422,0.306721,0.290802,
4,436,0.218927,0.169015,0.312484,0.299574,
4,437,0.156810,0.267501,0.317816,0.257873,
4,438,0.246272,0.133252,0.289521,0.330956,
4,439,0.291080,0.113460,0.255850,0.339609,
4,440,0.257115,0.136926,0.277018,0.328940,
4,441,0.234675,0.173834,0.295718,0.295772,
4,442,0.268828,0.108655,0.266928,0.355589,
4,443,0.195239,0.186015,0.345397,0.273349,
4,444,0.239645,0.194941,0.223486,0.341928,
4,445,0.269094,0.110667,0.282704,0.337534,
4,446,0.172628,0.176715,0.303127,0.347529,
4,447,0.284066,0.136836,0.259832,0.319267,
4,448,0.208164,0.138482,0.317838,0.335516,
4,449,0.186763,0.289680,0.271006,0.252550,
4,450,0.253731,0.162479,0.275473,0.308317,
4,451,0.207373,0.166922,0.332577,0.293128,
4,452,0.196397,0.229261,0.285405,0.288937,
4,453,0.244029,0.153124,0.263947,0.338900,
4,454,0.210562,0.115822,0.386898,0.286718,
4,455,0.261049,0.175358,0.258794,0.304799,
4,456,0.200326,0.227636,0.278194,0.293845,
4,457,0.211757,0.203078,0.306970,0.278195,
4,458,0.265527,0.177378,0.291766,0.265329,
4,459,0.144173,0.214506,0.350444,0.290877,
4,460,0.246794,0.186421,0.266004,0.300781,
4,461,0.208338,0.164780,0.335273,0.291610,
4,462,0.264797,0.098206,0.304897,0.332101,
4,463,0.209790,0.229828,0.266196,0.294187,
4,464,0.244699,0.118115,0.363868,0.273317,
4,465,0.296959,0.196414,0.218558,0.288069,
4,466,0.215201,0.174015,0.332713,0.278071,
4,467,0.226584,0.193213,0.260155,0.320047,
4,468,0.256312,0.194647,0.303867,0.245174,
4,469,0.380737,0.148659,0.224155,0.246449,
4,470,0.178339,0.199146,0.323310,0.299205,
4,471,0.246274,0.182243,0.273567,0.297916,
4,472,0.297240,0.161633,0.256212,0.284915,
4,473,0.209511,0.211216,0.260318,0.318955,
4,474,0.221949,0.142498,0.318385,0.317168,
4,475,0.202039,0.171871,0.277441,0.348649,
4,476,0.247897,0.205135,0.251013,0.295954,
4,477,0.287977,0.169277,0.248477,0.294269,
4,478,0.264686,0.113755,0.299807,0.321751,
4,479,0.187930,0.116621,0.274535,0.420914,
4,480,0.204671,0.172635,0.336362,0.286331,
4,481,0.214156,0.156605,0.322610,0.306629,
4,482,0.246367,0.159240,0.301084,0.293309,
4,483,0.191905,0.199586,0.320994,0.287514,
4,484,0.218604,0.223857,0.267286,0.290254,
4,485,0.254447,0.181045,0.304700,0.259808,
4,486,0.196365,0.233198,0.319847,0.250590,
4,487,0.152318,0.248556,0.356478,0.242648,
4,488,0.266216,0.158588,0.233569,0.341626,
4,489,0.313249,0.107201,0.307156,0.272394,
4,490,0.185513,0.243214,0.270742,0.300532,
4,491,0.209606,0.192672,0.227428,0.370294,
4,492,0.210974,0.218069,0.251040,0.319917,
4,493,0.211391,0.219530,0.280380,0.288699,
4,494,0.159309,0.244947,0.336283,0.259462,
4,495,0.213771,0.212316,0.323776,0.250137,
4,496,0.296894,0.225392,0.233802,0.243912,
4,497,0.215596,0.153628,0.292369,0.338407,
4,498,0.204479,0.220598,0.291159,0.283764,
4,499,0.191428,0.246619,0.308655,0.253297,
4,500,0.264884,0.152535,0.268451,0.314130,
4,501,0.194782,0.247159,0.292099,0.265959,
4,502,0.171602,0.250087,0.313819,0.264491,
4,503,0.323686,0.145618,0.275354,0.255342,
4,504,0.229314,0.200701,0.299865,0.270120,
4,505,0.175624,0.259049,0.296254,0.269073,
4,506,0.252708,0.216737,0.264768,0.265786,
4,507,0.248146,0.171986,0.287685,0.292183,
4,508,0.192671,0.225795,0.319757,0.261777,
4,509,0.178484,0.229801,0.308546,0.283169,
4,510,0.187278,0.259817,0.291788,0.261117,
4,511,0.200512,0.243711,0.320467,0.235310,
4,512,0.177949,0.173608,0.256773,0.391670,
4,513,0.198754,0.187648,0.299299,0.314299,
4,514,0.167854,0.211673,0.315147,0.305326,
4,515,0.230127,0.216053,0.324641,0.229179,
4,516,0.220812,0.245568,0.281402,0.252218,
4,517,0.205232,0.205071,0.324384,0.265314,
4,518,0.295540,0.145323,0.234359,0.324777,
4,519,0.290339,0.177582,0.218979,0.313100,
4,520,0.199417,0.231692,0.279735,0.289155,
4,521,0.288112,0.169957,0.241655,0.300277,
4,522,0.223666,0.257402,0.302849,0.216083,
4,523,0.213227,0.163305,0.273361,0.350106,
4,524,0.206297,0.255905,0.307313,0.230486,
4,525,0.189404,0.242681,0.294324,0.273591,
4,526,0.211031,0.233665,0.307579,0.247726,
4,527,0.191085,0.204696,0.347510,0.256708,
4,528,0.146932,0.239102,0.323322,0.290643,
4,529,0.180009,0.220076,0.326808,0.273106,
4,530,0.140249,0.258319,0.331169,0.270263,
4,531,0.236442,0.186041,0.312584,0.264933,
4,532,0.203167,0.114259,0.384986,0.297588,
4,533,0.164467,0.272229,0.295249,0.268055,
4,534,0.216583,0.235941,0.310956,0.236520,
4,535,0.207814,0.223917,0.320270,0.248000,
4,536,0.231405,0.215631,0.258309,0.294655,
4,537,0.258920,0.134582,0.343642,0.262857,
4,538,0.160597,0.242425,0.310151,0.286826,
4,539,0.210978,0.211146,0.264354,0.313522,
4,540,0.210826,0.182090,0.316334,0.290750,
4,541,0.200175,0.239527,0.298542,0.261756,
4,542,0.189695,0.233101,0.284715,0.292490,
4,543,0.264423,0.201806,0.274913,0.258858,
4,544,0.196338,0.216138,0.304537,0.282988,
4,545,0.263516,0.168724,0.284546,0.283214,
4,546,0.197015,0.209325,0.293857,0.299803,
4,547,0.155245,0.204851,0.363418,0.276487,
4,548,0.246829,0.165240,0.312272,0.275659,
4,549,0.177805,0.120403,0.372987,0.328805,
4,550,0.226138,0.099705,0.313726,0.360432,
4,551,0.235192,0.130516,0.306068,0.328225,
4,552,0.197023,0.232731,0.277762,0.292484,
4,553,0.179483,0.200233,0.340029,0.280256,
4,554,0.304073,0.127803,0.281402,0.286722,
4,555,0.204144,0.195211,0.286306,0.314339,
4,556,0.249844,0.195875,0.207262,0.347019,
4,557,0.210142,0.188927,0.305582,0.295349,
